order_id,date,region,product,customer_id,quantity,unit_price,revenue,cost
ORD-00001,2023-10-09,North,Laptop,CUST-0095,10.0,1100.36,11003.6,7152.34
ORD-00002,2024-03-08,Central,Monitor,CUST-0076,1.0,386.52,386.52,212.59
ORD-00003,2024-10-27,North,USB Hub,CUST-0026,23.0,34.15,785.45,235.63
ORD-00004,2024-03-08,North,Keyboard,CUST-0090,14.0,79.34,1110.76,444.3
ORD-00005,2023-04-10,North,Monitor,CUST-0049,15.0,496.91,7453.65,4099.51
ORD-00006,2024-01-23,West,USB Hub,CUST-0016,3.0,35.55,106.65,31.99
ORD-00007,2024-12-22,East,External SSD,CUST-0025,2.0,103.65,207.3,103.65
ORD-00008,2024-01-25,North,Mouse,CUST-0013,11.0,44.37,488.07,170.82
ORD-00009,2023-10-01,East,Mouse,CUST-0086,2.0,46.47,92.94,32.53
ORD-00010,2023-10-04,South,Standing Desk,CUST-0049,18.0,549.53,9891.54,5440.35
ORD-00011,2023-11-20,North,Mouse,CUST-0005,16.0,41.86,669.76,234.42
ORD-00012,2024-05-26,East,Mouse,CUST-0084,10.0,50.19,501.9,175.66
ORD-00013,2024-07-28,South,Mouse,CUST-0096,18.0,41.8,752.4,263.34
ORD-00014,2023-05-22,West,Webcam,CUST-0029,18.0,94.82,1706.76,853.38
ORD-00015,2024-03-08,South,Keyboard,CUST-0088,20.0,73.87,1477.4,590.96
ORD-00016,2023-01-12,Central,Headphones,CUST-0071,3.0,158.18,474.54,213.54
ORD-00017,2024-03-21,East,Monitor,CUST-0038,4.0,443.75,1775.0,976.25
ORD-00018,2023-07-02,East,USB Hub,CUST-0098,13.0,39.33,511.29,153.39
ORD-00019,2023-06-06,Central,External SSD,CUST-0026,10.0,129.45,1294.5,647.25
ORD-00020,2023-11-28,Central,Laptop,CUST-0077,14.0,1027.01,14378.14,9345.79
ORD-00021,2023-09-04,East,Mouse,CUST-0008,15.0,51.03,765.45,267.91
ORD-00022,2023-05-09,North,USB Hub,CUST-0099,6.0,36.68,220.08,66.02
ORD-00023,2023-08-05,Central,External SSD,CUST-0055,16.0,129.19,2067.04,1033.52
ORD-00024,2024-06-13,West,Webcam,CUST-0057,16.0,84.2,1347.2,673.6
ORD-00025,2024-08-25,Central,USB Hub,CUST-0030,7.0,29.83,208.81,62.64
ORD-00026,2023-03-14,North,Laptop,CUST-0043,22.0,1105.68,24324.96,15811.22
ORD-00027,2024-04-29,South,External SSD,CUST-0074,8.0,130.25,1042.0,521.0
ORD-00028,2024-03-09,North,Desk Chair,CUST-0046,18.0,346.54,6237.72,3118.86
ORD-00029,2023-12-14,North,Laptop,CUST-0052,5.0,1109.52,5547.6,3605.94
ORD-00030,2024-04-18,West,Keyboard,CUST-0036,8.0,94.55,756.4,302.56
ORD-00031,2024-10-29,Central,Monitor,CUST-0007,16.0,495.36,7925.76,4359.17
ORD-00032,2024-05-12,South,Keyboard,CUST-0053,16.0,77.7,1243.2,497.28
ORD-00033,2023-09-29,West,Laptop,CUST-0050,16.0,1122.69,17963.04,11675.98
ORD-00034,2023-07-14,Central,Standing Desk,CUST-0020,9.0,549.19,4942.71,2718.49
ORD-00035,2023-02-21,North,Webcam,CUST-0008,24.0,94.34,2264.16,1132.08
ORD-00036,2023-07-10,North,USB Hub,CUST-0011,3.0,36.0,108.0,32.4
ORD-00037,2024-08-15,North,External SSD,CUST-0032,26.0,103.43,2689.18,1344.59
ORD-00038,2023-09-25,Central,USB Hub,CUST-0041,6.0,36.78,220.68,66.2
ORD-00039,2023-11-20,South,Headphones,CUST-0059,3.0,127.92,383.76,172.69
ORD-00040,2023-08-07,North,Monitor,CUST-0069,22.0,418.3,9202.6,5061.43
ORD-00041,2023-06-11,South,Webcam,CUST-0037,15.0,104.51,1567.65,783.83
ORD-00042,2024-07-21,Central,Laptop,CUST-0086,9.0,1355.43,12198.87,7929.27
ORD-00043,2024-07-20,East,Monitor,CUST-0014,4.0,419.27,1677.08,922.39
ORD-00044,2024-05-15,South,Headphones,CUST-0065,9.0,168.24,1514.16,681.37
ORD-00045,2023-01-04,West,Headphones,CUST-0006,12.0,162.2,1946.4,875.88
ORD-00046,2024-03-13,West,USB Hub,CUST-0091,19.0,29.85,567.15,170.15
ORD-00047,2024-01-14,South,USB Hub,CUST-0005,19.0,35.55,675.45,202.63
ORD-00048,2023-08-04,East,Laptop,CUST-0046,6.0,1260.1,7560.6,4914.39
ORD-00049,2023-06-08,West,External SSD,CUST-0096,8.0,133.13,1065.04,532.52
ORD-00050,2023-12-07,West,Laptop,CUST-0023,15.0,1308.8,19632.0,12760.8
ORD-00051,2023-04-21,East,Keyboard,CUST-0090,10.0,94.49,944.9,377.96
ORD-00052,2023-08-22,West,Webcam,CUST-0040,8.0,81.42,651.36,325.68
ORD-00053,2024-10-18,North,Headphones,CUST-0045,22.0,145.49,3200.78,1440.35
ORD-00054,2023-07-02,North,Monitor,CUST-0034,24.0,512.44,12298.56,6764.21
ORD-00055,2023-11-18,West,Webcam,CUST-0094,15.0,98.03,1470.45,735.23
ORD-00056,2023-02-15,Central,Mouse,CUST-0033,12.0,38.27,459.24,160.73
ORD-00057,2023-03-13,South,Webcam,CUST-0056,11.0,98.51,1083.61,541.81
ORD-00058,2024-11-13,East,USB Hub,CUST-0040,11.0,33.17,364.87,109.46
ORD-00059,2024-01-24,South,Desk Chair,CUST-0086,6.0,362.13,2172.78,1086.39
ORD-00060,2023-08-04,North,Headphones,CUST-0037,18.0,162.86,2931.48,1319.17
ORD-00061,2023-08-07,West,Standing Desk,CUST-0087,18.0,595.17,10713.06,5892.18
ORD-00062,2024-06-11,South,Monitor,CUST-0037,20.0,427.75,8555.0,4705.25
ORD-00063,2023-05-31,East,Mouse,CUST-0026,1.0,38.87,38.87,13.6
ORD-00064,2024-10-06,North,Standing Desk,CUST-0054,24.0,545.0,13080.0,7194.0
ORD-00065,2024-12-05,South,Keyboard,CUST-0084,1.0,95.01,95.01,38.0
ORD-00066,2024-12-13,West,Mouse,CUST-0023,18.0,44.52,801.36,280.48
ORD-00067,2024-04-20,North,Standing Desk,CUST-0018,22.0,687.82,15132.04,8322.62
ORD-00068,2024-05-31,West,External SSD,CUST-0093,15.0,131.9,1978.5,989.25
ORD-00069,2023-09-11,West,Standing Desk,CUST-0034,9.0,647.85,5830.65,3206.86
ORD-00070,2024-12-31,East,Standing Desk,CUST-0010,8.0,552.21,4417.68,2429.72
ORD-00071,2023-08-25,North,Keyboard,CUST-0020,16.0,89.95,1439.2,575.68
ORD-00072,2024-04-22,West,Webcam,CUST-0070,15.0,82.52,1237.8,618.9
ORD-00073,2024-08-12,Central,Laptop,CUST-0098,11.0,1191.71,13108.81,8520.73
ORD-00074,2024-07-13,West,Desk Chair,CUST-0069,22.0,391.77,8618.94,4309.47
ORD-00075,2023-12-11,West,Laptop,CUST-0050,14.0,1280.71,17929.94,11654.46
ORD-00076,2024-02-08,Central,USB Hub,CUST-0004,17.0,35.68,606.56,181.97
ORD-00077,2023-02-21,South,Standing Desk,CUST-0024,9.0,578.24,5204.16,2862.29
ORD-00078,2024-03-07,West,Headphones,CUST-0097,9.0,165.07,1485.63,668.53
ORD-00079,2024-10-27,North,Webcam,CUST-0029,3.0,103.02,309.06,154.53
ORD-00080,2024-09-28,South,Mouse,CUST-0003,5.0,41.47,207.35,72.57
ORD-00081,2023-09-20,South,Standing Desk,CUST-0090,12.0,540.2,6482.4,3565.32
ORD-00082,2023-04-21,North,Keyboard,CUST-0040,24.0,72.9,1749.6,699.84
ORD-00083,2023-07-23,West,Desk Chair,CUST-0092,3.0,359.67,1079.01,539.5
ORD-00084,2024-08-02,East,External SSD,CUST-0016,1.0,114.5,114.5,57.25
ORD-00085,2024-03-06,Central,Webcam,CUST-0002,14.0,83.76,1172.64,586.32
ORD-00086,2023-06-30,West,Keyboard,CUST-0056,18.0,96.87,1743.66,697.46
ORD-00087,2024-03-22,Central,Standing Desk,CUST-0060,17.0,558.31,9491.27,5220.2
ORD-00088,2023-09-07,North,Headphones,CUST-0058,19.0,153.14,2909.66,1309.35
